section_id	id	day	start_time	end_time	room	instructor	semester_id
6245	108	2	1330	1450	Rm 102, E4	LIU, Li & YUE, Yutao	2430
6245	109	5	1330	1450	Rm 102, E4	LIU, Li & YUE, Yutao	2430
6250	110	1	1930	2050	Rm 228, E2	HU, Xuming	2430
6250	111	3	1930	2050	Rm 228, E2	HU, Xuming	2430
6247	112	1	1800	1920	Rm 102, E4	ZHONG, Bingzhuo	2430
6247	113	3	1800	1920	Rm 102, E4	ZHONG, Bingzhuo	2430
6251	114	2	1630	1750	Rm 101, E1	LI, Lei & WANG, Wei & ZHANG, Yongqi	2430
6251	115	4	1630	1750	Rm 101, E1	LI, Lei & WANG, Wei & ZHANG, Yongqi	2430
6252	116	5	1200	1250	Rm 101, E1	LI, Lei & WANG, Wei & ZHANG, Yongqi	2430
6255	117	2	1500	1750	Rm 134, E1	YANG, Weikai & ZHONG, Zixin	2430
6256	118	5	1200	1450	Rm 134, E1	YANG, Weikai & ZHONG, Zixin	2430
6258	119	4	1630	1720	Rm 134, E1	YANG, Weikai & ZHONG, Zixin	2430
6260	120	5	2000	2050	Rm 134, E1	YANG, Weikai & ZHONG, Zixin	2430
6264	121	2	1030	1150	Rm 134, E1	TANG, Nan	2430
6264	122	4	1030	1150	Rm 134, E1	TANG, Nan	2430
6265	123	5	1030	1120	Rm 149, E1	TANG, Nan	2430
6268	124	2	1030	1150	Rm 222, W1	WANG, Wei	2430
6268	125	4	1030	1150	Rm 222, W1	WANG, Wei	2430
6269	126	1	900	1020	Rm 102, W1	ZHANG, Yanlin	2430
6269	127	3	900	1020	Rm 102, W1	ZHANG, Yanlin	2430
6270	128	5	1030	1120	Rm 228, E1	WANG, Wei	2430
6271	129	5	1400	1450	Rm 228, E1	ZHANG, Yanlin	2430
6534	130	2	900	1020	Lecture Hall A & Rm 101, E1 & Rm 122, E1 & Rm 149, E1 & Rm 201, E1	JIANG, BIN & LUO, Moxuan & REN, ZHIJUN & TONG, Xin & WANG, Xiaoyan & XU, JUNYU & YANG, Jingwei & ZHANG, Mei	2430
6535	131	2	1030	1150	Rm 101, W1	KUO, YI LUNG & NG, TAI KAI	2430
6511	132	2	1200	1320	Rm 222, W1	HAO, Tun	2430
6511	133	4	1200	1320	Rm 222, W1	HAO, Tun	2430
6280	134	3	1330	1450	Rm 202, E1	YIP, David Kei Man	2430
6281	135	3	1500	1620	Rm 227, E1	YIP, David Kei Man	2430
6319	136	2	1630	1750	Rm 228, E1	ZHANG, Junjie	2430
6320	137	4	1630	1750	Rm 228, E1	ZHANG, Junjie	2430
6322	138	2	1800	1920	Rm 201, W4	XING, Qingqing	2430
6322	139	4	1800	1920	Rm 201, W4	XING, Qingqing	2430
6325	140	2	1200	1450	Rm 101, W4	ZHANG, Mei	2430
6326	141	3	1030	1320	Rm 101, W4	FAN, Mingming	2430
6327	142	4	1030	1320	Rm 101, W4	PAPATHEODOROU, Theodoros	2430
6331	143	5	1800	2050	Rm 205, C7 Library	FANG, Bo	2430
6284	144	3	1500	1750	Rm 228, E2	MA, Jinyuan & ZHU, Junhua	2430
6285	145	3	1500	1750	Rm 201, E1	LUO, Moxuan & LYU, Dongye	2430
6333	146	4	1800	2050	Rm 101, W4	GUO, Jiao	2430
6336	147	1	1200	1450	Rm 102, W1	LI, Mei	2430
6337	148	2	900	1120	Rm 102, W4	YANG, Lin	2430
6338	149	4	900	950	Rm 102, W4	YANG, Lin	2430
6339	150	3	1800	2050	Rm 122, E1	JI, Qixing	2430
6340	151	5	1030	1320	Rm 233, W1	HE, Qiao	2430
6341	152	2	1800	2050	Rm 233, W1	CAI, Yi	2430
6343	153	3	900	1020	Rm 150, E1	XU, JUNYU & ZHANG, Xuning	2430
6343	154	5	900	1020	Rm 150, E1	XU, JUNYU & ZHANG, Xuning	2430
6344	155	1	900	1150	Rm 205, C7 Library	FANG, Bo	2430
6345	156	1	1500	1750	Rm 205, C7 Library	FANG, Bo	2430
6347	157	5	1500	1750	Rm 102, W1	ZHANG, Zhuoni & ZHOU, Muzhi	2430
6490	158	2	900	1020	Rm 147, E1	WU, Wei	2430
6490	159	4	900	1020	Rm 147, E1	WU, Wei	2430
6491	160	2	1030	1150	Rm 147, E1	WU, Wei	2430
6491	161	4	1030	1150	Rm 147, E1	WU, Wei	2430
6492	162	1	900	1020	Rm 147, E1	ZHANG, Leifu	2430
6492	163	3	900	1020	Rm 147, E1	ZHANG, Leifu	2430
6505	164	5	900	950	Rm 147, E1	WU, Wei	2430
6506	165	5	1030	1120	Rm 147, E1	WU, Wei	2430
6507	166	5	1400	1450	Rm 147, E1	ZHANG, Leifu	2430
6350	167	1	900	1020	Rm 148, E1	SONG, IICKHO	2430
6350	168	3	900	1020	Rm 148, E1	SONG, IICKHO	2430
6351	169	2	900	1020	Rm 148, E1	SONG, IICKHO & SUN, Ying	2430
6353	171	3	1200	1320	Rm 147, E1	KWOK, YUE KUEN	2430
6353	172	5	1200	1320	Rm 147, E1	KWOK, YUE KUEN	2430
6354	173	2	1030	1150	Rm 148, E1	HU, Jishan	2430
6354	174	4	1030	1150	Rm 148, E1	HU, Jishan	2430
6356	175	1	1030	1150	Rm 149, E1	CHENG, Ziteng & HU, Jishan	2430
6356	176	3	1030	1150	Rm 149, E1	CHENG, Ziteng & HU, Jishan	2430
6357	177	5	900	950	Rm 148, E1	SONG, IICKHO	2430
6358	178	5	1500	1550	Rm 148, E1	SONG, IICKHO & SUN, Ying	2430
6359	179	4	1700	1750	Rm 147, E1	KWOK, YUE KUEN	2430
6360	180	5	1030	1120	Rm 148, E1	HU, Jishan	2430
6361	181	5	1800	1850	Rm 134, E1	CHENG, Ziteng & HU, Jishan	2430
6369	182	1	1500	1750	Rm 147, E1	FANG, Ting & HE, Qiao & JI, Qixing	2430
6372	183	5	1800	1850	Rm 147, E1	FANG, Ting & HE, Qiao & JI, Qixing	2430
6378	184	1	1330	1450	Rm 202, E3	CAO, Bei & WANG, Jun	2430
6378	185	3	1330	1450	Rm 202, E3	CAO, Bei & WANG, Jun	2430
6383	186	4	1900	1950	Rm 102, W1	CAO, Bei & WANG, Jun	2430
6390	187	1	1500	1620	Rm 202, E3	CAO, Bei & YUAN, Rongfeng & ZHOU, Teng	2430
6390	188	3	1500	1620	Rm 202, E3	CAO, Bei & YUAN, Rongfeng & ZHOU, Teng	2430
6396	189	5	1630	1720	Rm 202, E3	CAO, Bei & YUAN, Rongfeng & ZHOU, Teng	2430
6400	190	1	1030	1150	Rm 101, E4	LIANG, Zhuoyi & LIN, Qiaojin	2430
6400	191	3	1030	1150	Rm 101, E4	LIANG, Zhuoyi & LIN, Qiaojin	2430
6401	192	1	1500	1620	Rm 101, W4	LIANG, Zhuoyi & LIN, Qiaojin	2430
6433	199	4	1800	1850	Rm 102, W4	TBA	2430
6452	203	4	1800	1850	Rm 102, E4	TBA	2430
6411	194	1	1030	1220	Rm 201, W2	XU, JUNYU	2430
6421	195	2	1630	1750	Rm 149, E1	CHU, Xiakun	2430
6421	196	4	1630	1750	Rm 149, E1	CHU, Xiakun	2430
6422	197	1	1030	1150	Rm 147, E1	ZHONG, Bingzhuo	2430
6422	198	3	1030	1150	Rm 147, E1	ZHONG, Bingzhuo	2430
6439	200	2	1500	1750	Rm 147, E1	ZI, Yunlong	2430
6440	201	5	1500	1750	Rm 149, E1	LIN, Yuanbao	2430
6441	202	5	900	1150	Rm 122, E1	WU, Xiaoxiao	2430
6409	204	1	1800	2050	Rm 228, E1	LI, Chaosu	2430
6410	205	3	1930	2020	Rm 228, E1	LI, Chaosu	2430
6460	206	1	1330	1450	Rm 148, E1	ZHANG, Xuning	2430
6460	207	3	1330	1450	Rm 148, E1	ZHANG, Xuning	2430
6461	208	2	1630	1750	Rm 148, E1	ZHANG, Xuning	2430
6461	209	4	1630	1750	Rm 148, E1	ZHANG, Xuning	2430
6463	210	1	900	1020	Rm 149, E1	YU, Jiadong	2430
6463	211	3	900	1020	Rm 149, E1	YU, Jiadong	2430
6464	212	5	1400	1450	Rm 148, E1	ZHANG, Xuning	2430
6465	213	5	1300	1350	Rm 148, E1	ZHANG, Xuning	2430
6467	214	5	900	950	Rm 149, E1	YU, Jiadong	2430
6470	216	3	1330	1450	Rm 101, E1	CHU, Xiaowen & DING, Zishuo & HE, Xinlei	2430
6473	217	2	1330	1450	Rm 149, E1	WEN, Zeyi	2430
6473	218	5	1330	1450	Rm 149, E1	WEN, Zeyi	2430
6477	219	1	900	1020	Rm 134, E1	KUTSCHER, Dirk	2430
6477	220	3	900	1020	Rm 134, E1	KUTSCHER, Dirk	2430
6478	221	5	1500	1650	Rm 228, E1	WEN, Zeyi	2430
6479	222	3	1030	1220	Rm 228, E1	KUTSCHER, Dirk	2430
6483	223	1	900	1020	Rm 122, E1	LU, Shangqi	2430
6483	224	3	900	1020	Rm 122, E1	LU, Shangqi	2430
6484	225	3	1030	1320	Rm 148, E1	LI, Jia	2430
6502	226	1	1230	1320	Rm 122, E1	LU, Shangqi	2430
6503	227	5	1330	1420	Rm 101, E1	LI, Jia	2430
6485	228	5	1500	1550	Rm 227, E1	LU, Shangqi	2430
6486	229	5	1600	1650	Rm 227, E1	LI, Jia	2430
6278	230	1	1800	2050	Rm 222, W1	CUI, Huachen & LI, Zhanpeng	2430
6277	231	3	1800	2050	Rm 201, E1	DENG, Jianyi & WANG, Wenyu	2430
6249	107	5	900	950	Rm 102, E4	CHEN, Jintai & CHEN, Yingcong & DAI, Enyan & HU, Xuming & LIANG, Junwei & LIU, Li & RIKOS, APOSTOLOS & SUN, Ying & WANG, Hao & WANG, Xin & XIE, Sihong & XIE, Zeke & YUE, Yutao	2430
6294	598	1	900	1020	Rm 222, W1	JURASZEK, Dawid	2430
6294	599	3	900	1020	Rm 222, W1	JURASZEK, Dawid	2430
6295	600	1	1030	1150	Rm 222, W1	JURASZEK, Dawid	2430
6295	601	3	1030	1150	Rm 222, W1	JURASZEK, Dawid	2430
6297	602	1	1500	1620	Rm 201, W2	JURASZEK, Dawid	2430
6297	603	3	1500	1620	Rm 201, W2	JURASZEK, Dawid	2430
6518	604	1	1330	1450	Rm 233, W1	CHEN, Zehan	2430
6518	605	3	1330	1450	Rm 233, W1	CHEN, Zehan	2430
6298	606	1	1030	1150	Rm 202, W1	LIAO, Simei	2430
6298	607	3	1030	1150	Rm 202, W1	LIAO, Simei	2430
6299	608	1	1330	1450	Rm 202, W1	LIAO, Simei	2430
6299	609	3	1330	1450	Rm 202, W2	LIAO, Simei	2430
6300	610	1	1500	1620	Rm 233, W1	LIU, Yalan	2430
6300	611	3	1500	1620	Rm 233, W1	LIU, Yalan	2430
6301	612	1	900	1020	Rm 233, W1	CHEN, Zehan	2430
6301	613	3	900	1020	Rm 233, W1	CHEN, Zehan	2430
6302	614	1	1030	1150	Rm 233, W1	LIU, Yalan	2430
6302	615	3	1030	1150	Rm 233, W1	LIU, Yalan	2430
6304	616	1	1630	1750	Rm 233, W1	LIU, Yalan	2430
6304	617	3	1630	1750	Rm 233, W1	LIU, Yalan	2430
6305	618	2	1030	1150	Rm 150, E1	ZHANG, Wei	2430
6305	619	4	1030	1150	Rm 150, E1	ZHANG, Wei	2430
6306	620	2	1630	1750	Rm 233, W1	ZHANG, Wei	2430
6306	621	4	1630	1750	Rm 233, W1	ZHANG, Wei	2430
6307	622	2	1200	1320	Rm 150, E1	CHEN, Zehan	2430
6307	623	4	1200	1320	Rm 150, E1	CHEN, Zehan	2430
6351	170	4	900	1020	Rm 148, E1	SONG, IICKHO & SUN, Ying	2430
6401	193	3	1500	1620	Rm 101, W4	LIANG, Zhuoyi & LIN, Qiaojin	2430
6470	215	1	1330	1450	Rm 101, E1	CHU, Xiaowen & DING, Zishuo & HE, Xinlei	2430
6299	2830	3	1330	1450	Rm 202, W2	LIAO, Simei	2430
