course_code	name	bundle	quota	enrol	avail	wait	section_id	semester_id	section_type	is_main	layer
AIAA2711	L01	1	40	30	10	0	6043	2440	L	t	0
DSAA2011	LA01	1	20	15	5	0	6054	2440	LA	f	1
DSAA2012	L01	1	20	13	7	0	6055	2440	L	t	0
DSAA2012	LA01	1	20	13	7	0	6056	2440	LA	f	1
DSAA2088	L01	1	20	5	15	0	6057	2440	L	t	0
DSAA2088	T01	1	20	5	15	0	6058	2440	T	f	1
ROAS4220	L01	1	20	2	18	0	6048	2440	L	t	0
ROAS4220	T01	1	20	2	18	0	6049	2440	T	f	1
UCUG1501	L01	1	20	17	3	0	6030	2440	L	t	0
UCUG1504	L01	1	20	21	0	0	6031	2440	L	t	0
UCUG1504	L02	2	20	16	4	0	6032	2440	L	t	0
UCUG1600	L01	1	40	30	10	0	6036	2440	L	t	0
UCUG1900	L01	1	30	19	11	0	6038	2440	L	t	0
UCUG1907	L01	1	15	10	5	0	6041	2440	L	t	0
UCUG2500	L01	1	30	30	0	0	6035	2440	L	t	0
UFUG1301	L01	1	48	16	32	0	6021	2440	L	t	0
UFUG1301	T01	1	48	16	32	0	6022	2440	T	f	1
UFUG1301	LA01	1	24	16	8	0	6023	2440	LA	f	2
UFUG1403	L01	1	32	13	19	0	6033	2440	L	t	0
UFUG1403	LA01	1	16	13	3	0	6034	2440	LA	f	1
UFUG1601	L01	1	40	32	8	0	6042	2440	L	t	0
UFUG1811	L01	1	40	11	29	0	6046	2440	L	t	0
UFUG1811	T01	1	40	11	29	0	6047	2440	T	f	1
UFUG1999A	T01	1	30	5	25	0	6086	2440	T	t	0
UFUG2102	L01	1	40	9	31	0	6050	2440	L	t	0
UFUG2102	T01	1	40	9	31	0	6051	2440	T	f	1
DSAA2011	L01	1	20	15	5	0	6053	2440	L	t	0
SMMG4020	L01	1	25	5	20	0	6052	2440	L	t	0
UFUG1102	L01	1	40	2	38	0	6020	2440	L	t	0
UFUG1601	LA01	1	40	32	8	0	6044	2440	LA	f	1
AIAA2205	L01	1	40	36	4	0	6045	2440	L	t	0
AIAA5026	L01	1	20	18	2	0	6003	2440	L	t	0
CMAA5028	L01	1	14	9	5	0	6007	2440	L	t	0
FUNH5000	L01	1	100	9	91	0	6010	2440	L	t	0
INFH5000	L01	1	100	22	78	0	6001	2440	L	t	0
INFH6780	T01	1	100	12	88	0	6002	2440	T	t	0
PDEV6770K	T01	1	1	3	0	0	6085	2440	T	t	0
PDEV6770M	T01	1	1	2	0	0	6091	2440	T	t	0
PDEV6800K	T01	1	1	9	0	0	6087	2440	T	t	0
PDEV6800L	T01	1	1	1	0	0	6088	2440	T	t	0
PDEV6800M	T01	1	1	1	0	0	6089	2440	T	t	0
